Libro;Autor;Idioma original;Primera edición;
Don Quijote;Miguel de Cervantes;Español;1605;
Historia de dos ciudades;Charles Dickens;Inglés;1859;
El Señor de los Anillos;J. R. R. Tolkien;Inglés;1954;
Harry Potter y la piedra filosofal;J.K. Rowling;Inglés;1997;
El principito;Antoine de Saint-Exupéry;Francés;1943;
El hobbit;J. R. R. Tolkien;Inglés;1937;
Sueño en el pabellón rojo;Cao Xueqin;Chino;1759–1791;
Triple representatividad;Jiang Zemin;Chino;2001;
Diez negritos;Agatha Christie;Inglés;1939;
Las aventuras de Alicia en el país de las maravillas;Lewis Carroll;Inglés;1865;
